name,country,linked_to,link,jurisdiction,year,active,yr_active,gender,term
"VELASQUEZ ECHEVERRI, MIGUEL EDUARDO",,NEOCOAL CORPORATION A.V.V. (I.L.),liquidator of,AW,2011,1,4,male,VELASQUEZ
"VELASQUEZ ECHEVERRI, MIGUEL EDUARDO",,NEOCOAL CORPORATION A.V.V. (I.L.),liquidator of,AW,2010,1,3,male,VELASQUEZ
"VELASQUEZ ECHEVERRI, MIGUEL EDUARDO",,NEOCOAL CORPORATION A.V.V. (I.L.),liquidator of,AW,2009,1,2,male,VELASQUEZ
"VELASQUEZ ECHEVERRI, MIGUEL EDUARDO",,NEOCOAL CORPORATION A.V.V. (I.L.),liquidator of,AW,2008,1,1,male,VELASQUEZ
"RODRIGUEZ VASQUEZ-VALDEZ, LETICIA ANGELICA",,ARROW SEPTIC TANK SERVICES,owner of,AW,2016,1,12,female,VALDEZ
"RODRIGUEZ VASQUEZ-VALDEZ, LETICIA ANGELICA",,ARROW SEPTIC TANK SERVICES,owner of,AW,2015,1,11,female,VALDEZ
"RODRIGUEZ VASQUEZ-VALDEZ, LETICIA ANGELICA",,ARROW SEPTIC TANK SERVICES,owner of,AW,2014,1,10,female,VALDEZ
"RODRIGUEZ VASQUEZ-VALDEZ, LETICIA ANGELICA",,ARROW SEPTIC TANK SERVICES,owner of,AW,2013,1,9,female,VALDEZ
"RODRIGUEZ VASQUEZ-VALDEZ, LETICIA ANGELICA",,ARROW SEPTIC TANK SERVICES,owner of,AW,2012,1,8,female,VALDEZ
"RODRIGUEZ VASQUEZ-VALDEZ, LETICIA ANGELICA",,ARROW SEPTIC TANK SERVICES,owner of,AW,2011,1,7,female,VALDEZ
"RODRIGUEZ VASQUEZ-VALDEZ, LETICIA ANGELICA",,ARROW SEPTIC TANK SERVICES,owner of,AW,2010,1,6,female,VALDEZ
"RODRIGUEZ VASQUEZ-VALDEZ, LETICIA ANGELICA",,ARROW SEPTIC TANK SERVICES,owner of,AW,2009,1,5,female,VALDEZ
"RODRIGUEZ VASQUEZ-VALDEZ, LETICIA ANGELICA",,ARROW SEPTIC TANK SERVICES,owner of,AW,2008,1,4,female,VALDEZ
"RODRIGUEZ VASQUEZ-VALDEZ, LETICIA ANGELICA",,ARROW SEPTIC TANK SERVICES,owner of,AW,2007,1,3,female,VALDEZ
"RODRIGUEZ VASQUEZ-VALDEZ, LETICIA ANGELICA",,ARROW SEPTIC TANK SERVICES,owner of,AW,2006,1,2,female,VALDEZ
"RODRIGUEZ VASQUEZ-VALDEZ, LETICIA ANGELICA",,ARROW SEPTIC TANK SERVICES,owner of,AW,2005,1,1,female,VALDEZ
"TOVAR, LILIAN DEL CARMEN",,EMERGENCY RESPONSE BRIGADE ARUBA FOUNDATION,secretary of,AW,2016,1,12,female,TOVAR
"TOVAR, LILIAN DEL CARMEN",,EMERGENCY RESPONSE BRIGADE ARUBA FOUNDATION,secretary of,AW,2015,1,11,female,TOVAR
"TOVAR, LILIAN DEL CARMEN",,EMERGENCY RESPONSE BRIGADE ARUBA FOUNDATION,secretary of,AW,2014,1,10,female,TOVAR
"TOVAR, LILIAN DEL CARMEN",,EMERGENCY RESPONSE BRIGADE ARUBA FOUNDATION,secretary of,AW,2013,1,9,female,TOVAR
"TOVAR, LILIAN DEL CARMEN",,EMERGENCY RESPONSE BRIGADE ARUBA FOUNDATION,secretary of,AW,2012,1,8,female,TOVAR
"TOVAR, LILIAN DEL CARMEN",,EMERGENCY RESPONSE BRIGADE ARUBA FOUNDATION,secretary of,AW,2011,1,7,female,TOVAR
"TOVAR, LILIAN DEL CARMEN",,EMERGENCY RESPONSE BRIGADE ARUBA FOUNDATION,secretary of,AW,2010,1,6,female,TOVAR
"TOVAR, LILIAN DEL CARMEN",,EMERGENCY RESPONSE BRIGADE ARUBA FOUNDATION,secretary of,AW,2009,1,5,female,TOVAR
"TOVAR, LILIAN DEL CARMEN",,EMERGENCY RESPONSE BRIGADE ARUBA FOUNDATION,secretary of,AW,2008,1,4,female,TOVAR
"TOVAR, LILIAN DEL CARMEN",,EMERGENCY RESPONSE BRIGADE ARUBA FOUNDATION,secretary of,AW,2007,1,3,female,TOVAR
"TOVAR, LILIAN DEL CARMEN",,EMERGENCY RESPONSE BRIGADE ARUBA FOUNDATION,secretary of,AW,2006,1,2,female,TOVAR
"TOVAR, LILIAN DEL CARMEN",,EMERGENCY RESPONSE BRIGADE ARUBA FOUNDATION,secretary of,AW,2005,1,1,female,TOVAR
"SAADE, SORAYA RITA",,HADAYA N.V. - COCUS 1,managing director of,AW,2016,1,12,female,SAADE
"SAADE, SORAYA RITA",,HADAYA N.V. - COCUS 1,managing director of,AW,2015,1,11,female,SAADE
"SAADE, SORAYA RITA",,HADAYA N.V. - COCUS 1,managing director of,AW,2014,1,10,female,SAADE
"SAADE, SORAYA RITA",,HADAYA N.V. - COCUS 1,managing director of,AW,2013,1,9,female,SAADE
"SAADE, SORAYA RITA",,HADAYA N.V. - COCUS 1,managing director of,AW,2012,1,8,female,SAADE
"SAADE, SORAYA RITA",,HADAYA N.V. - COCUS 1,managing director of,AW,2011,1,7,female,SAADE
"SAADE, SORAYA RITA",,HADAYA N.V. - COCUS 1,managing director of,AW,2010,1,6,female,SAADE
"SAADE, SORAYA RITA",,HADAYA N.V. - COCUS 1,managing director of,AW,2009,1,5,female,SAADE
"SAADE, SORAYA RITA",,HADAYA N.V. - COCUS 1,managing director of,AW,2008,1,4,female,SAADE
"SAADE, SORAYA RITA",,HADAYA N.V. - COCUS 1,managing director of,AW,2007,1,3,female,SAADE
"SAADE, SORAYA RITA",,HADAYA N.V. - COCUS 1,managing director of,AW,2006,1,2,female,SAADE
"SAADE, SORAYA RITA",,HADAYA N.V. - COCUS 1,managing director of,AW,2005,1,1,female,SAADE
"SAADE, SORAYA RITA",,HADAYA N.V. - COCUS 2,managing director of,AW,2016,1,12,female,SAADE
"SAADE, SORAYA RITA",,HADAYA N.V. - COCUS 2,managing director of,AW,2015,1,11,female,SAADE
"SAADE, SORAYA RITA",,HADAYA N.V. - COCUS 2,managing director of,AW,2014,1,10,female,SAADE
"SAADE, SORAYA RITA",,HADAYA N.V. - COCUS 2,managing director of,AW,2013,1,9,female,SAADE
"SAADE, SORAYA RITA",,HADAYA N.V. - COCUS 2,managing director of,AW,2012,1,8,female,SAADE
"SAADE, SORAYA RITA",,HADAYA N.V. - COCUS 2,managing director of,AW,2011,1,7,female,SAADE
"SAADE, SORAYA RITA",,HADAYA N.V. - COCUS 2,managing director of,AW,2010,1,6,female,SAADE
"SAADE, SORAYA RITA",,HADAYA N.V. - COCUS 2,managing director of,AW,2009,1,5,female,SAADE
"SAADE, SORAYA RITA",,HADAYA N.V. - COCUS 2,managing director of,AW,2008,1,4,female,SAADE
"SAADE, SORAYA RITA",,HADAYA N.V. - COCUS 2,managing director of,AW,2007,1,3,female,SAADE
"SAADE, SORAYA RITA",,HADAYA N.V. - COCUS 2,managing director of,AW,2006,1,2,female,SAADE
"SAADE, SORAYA RITA",,HADAYA N.V. - COCUS 2,managing director of,AW,2005,1,1,female,SAADE
"SARMIENTO CABALLERO, JOSE LUIS",,SARMIENTO CONSTRUCTION,proxy of,AW,2016,1,12,male,CABALLERO
"SARMIENTO CABALLERO, JOSE LUIS",,SARMIENTO CONSTRUCTION,proxy of,AW,2015,1,11,male,CABALLERO
"SARMIENTO CABALLERO, JOSE LUIS",,SARMIENTO CONSTRUCTION,proxy of,AW,2014,1,10,male,CABALLERO
"SARMIENTO CABALLERO, JOSE LUIS",,SARMIENTO CONSTRUCTION,proxy of,AW,2013,1,9,male,CABALLERO
"SARMIENTO CABALLERO, JOSE LUIS",,SARMIENTO CONSTRUCTION,proxy of,AW,2012,1,8,male,CABALLERO
"SARMIENTO CABALLERO, JOSE LUIS",,SARMIENTO CONSTRUCTION,proxy of,AW,2011,1,7,male,CABALLERO
"SARMIENTO CABALLERO, JOSE LUIS",,SARMIENTO CONSTRUCTION,proxy of,AW,2010,1,6,male,CABALLERO
"SARMIENTO CABALLERO, JOSE LUIS",,SARMIENTO CONSTRUCTION,proxy of,AW,2009,1,5,male,CABALLERO
"SARMIENTO CABALLERO, JOSE LUIS",,SARMIENTO CONSTRUCTION,proxy of,AW,2008,1,4,male,CABALLERO
"SARMIENTO CABALLERO, JOSE LUIS",,SARMIENTO CONSTRUCTION,proxy of,AW,2007,1,3,male,CABALLERO
"SARMIENTO CABALLERO, JOSE LUIS",,SARMIENTO CONSTRUCTION,proxy of,AW,2006,1,2,male,CABALLERO
"SARMIENTO CABALLERO, JOSE LUIS",,SARMIENTO CONSTRUCTION,proxy of,AW,2005,1,1,male,CABALLERO
"SARMIENTO CABALLERO-KOOLMAN, JENNYFER ANGELINE",,SARMIENTO CONSTRUCTION,owner of,AW,2016,1,12,female,CABALLERO
"SARMIENTO CABALLERO-KOOLMAN, JENNYFER ANGELINE",,SARMIENTO CONSTRUCTION,owner of,AW,2015,1,11,female,CABALLERO
"SARMIENTO CABALLERO-KOOLMAN, JENNYFER ANGELINE",,SARMIENTO CONSTRUCTION,owner of,AW,2014,1,10,female,CABALLERO
"SARMIENTO CABALLERO-KOOLMAN, JENNYFER ANGELINE",,SARMIENTO CONSTRUCTION,owner of,AW,2013,1,9,female,CABALLERO
"SARMIENTO CABALLERO-KOOLMAN, JENNYFER ANGELINE",,SARMIENTO CONSTRUCTION,owner of,AW,2012,1,8,female,CABALLERO
"SARMIENTO CABALLERO-KOOLMAN, JENNYFER ANGELINE",,SARMIENTO CONSTRUCTION,owner of,AW,2011,1,7,female,CABALLERO
"SARMIENTO CABALLERO-KOOLMAN, JENNYFER ANGELINE",,SARMIENTO CONSTRUCTION,owner of,AW,2010,1,6,female,CABALLERO
"SARMIENTO CABALLERO-KOOLMAN, JENNYFER ANGELINE",,SARMIENTO CONSTRUCTION,owner of,AW,2009,1,5,female,CABALLERO
"SARMIENTO CABALLERO-KOOLMAN, JENNYFER ANGELINE",,SARMIENTO CONSTRUCTION,owner of,AW,2008,1,4,female,CABALLERO
"SARMIENTO CABALLERO-KOOLMAN, JENNYFER ANGELINE",,SARMIENTO CONSTRUCTION,owner of,AW,2007,1,3,female,CABALLERO
"SARMIENTO CABALLERO-KOOLMAN, JENNYFER ANGELINE",,SARMIENTO CONSTRUCTION,owner of,AW,2006,1,2,female,CABALLERO
"SARMIENTO CABALLERO-KOOLMAN, JENNYFER ANGELINE",,SARMIENTO CONSTRUCTION,owner of,AW,2005,1,1,female,CABALLERO
"VALLEJO, CARLOS ARTURO",,STICHTING FONDO SOLIDARIDAD LATINOAMERICA,president of,AW,2016,1,12,male,VALLEJO
"VALLEJO, CARLOS ARTURO",,STICHTING FONDO SOLIDARIDAD LATINOAMERICA,president of,AW,2015,1,11,male,VALLEJO
"VALLEJO, CARLOS ARTURO",,STICHTING FONDO SOLIDARIDAD LATINOAMERICA,president of,AW,2014,1,10,male,VALLEJO
"VALLEJO, CARLOS ARTURO",,STICHTING FONDO SOLIDARIDAD LATINOAMERICA,president of,AW,2013,1,9,male,VALLEJO
"VALLEJO, CARLOS ARTURO",,STICHTING FONDO SOLIDARIDAD LATINOAMERICA,president of,AW,2012,1,8,male,VALLEJO
"VALLEJO, CARLOS ARTURO",,STICHTING FONDO SOLIDARIDAD LATINOAMERICA,president of,AW,2011,1,7,male,VALLEJO
"VALLEJO, CARLOS ARTURO",,STICHTING FONDO SOLIDARIDAD LATINOAMERICA,president of,AW,2010,1,6,male,VALLEJO
"VALLEJO, CARLOS ARTURO",,STICHTING FONDO SOLIDARIDAD LATINOAMERICA,president of,AW,2009,1,5,male,VALLEJO
"VALLEJO, CARLOS ARTURO",,STICHTING FONDO SOLIDARIDAD LATINOAMERICA,president of,AW,2008,1,4,male,VALLEJO
"VALLEJO, CARLOS ARTURO",,STICHTING FONDO SOLIDARIDAD LATINOAMERICA,president of,AW,2007,1,3,male,VALLEJO
"VALLEJO, CARLOS ARTURO",,STICHTING FONDO SOLIDARIDAD LATINOAMERICA,president of,AW,2006,1,2,male,VALLEJO
"VALLEJO, CARLOS ARTURO",,STICHTING FONDO SOLIDARIDAD LATINOAMERICA,president of,AW,2005,1,1,male,VALLEJO
"DUQUE-LONDONO, JESUS ARMANDO",,STICHTING FONDO SOLIDARIDAD LATINOAMERICA,secretary of,AW,2016,1,12,male,LONDONO
"DUQUE-LONDONO, JESUS ARMANDO",,STICHTING FONDO SOLIDARIDAD LATINOAMERICA,secretary of,AW,2015,1,11,male,LONDONO
