node_id,address...2,name,countries,country_codes,sourceID,valid_until,note,lon,lat,type,loctype,address...13,north,south,east,west
88015873,"TANKI LEENDERT 68-B, NOORD ARUBA","TANKI LEENDERT 68-B, NOORD",Aruba,ABW,Paradise Papers - Aruba corporate registry,Aruba corporate registry data is current through 2016,NA,-70.0269457,12.539851,subpremise,rooftop,"b, tanki leendert 68, oranjestad, aruba",12.5412219802915,12.5385240197085,-70.02556051970849,-70.02825848029151
88015974,"TIMBALSTRAAT 26, ORANJESTAD OOST ARUBA","TIMBALSTRAAT 26, ORANJESTAD OOST",Aruba,ABW,Paradise Papers - Aruba corporate registry,Aruba corporate registry data is current through 2016,NA,-70.0142987,12.514424,route,geometric_center,"timbalstraat, oranjestad, aruba",12.5158658302915,12.5131678697085,-70.01309696970849,-70.0157949302915
88016070,"TURIBANA 1, NOORD ARUBA","TURIBANA 1, NOORD",Aruba,ABW,Paradise Papers - Aruba corporate registry,Aruba corporate registry data is current through 2016,NA,-70.03197639999999,12.5712717,street_address,range_interpolated,"turibana 1, noord, aruba",12.5726206802915,12.5699227197085,-70.03062741970848,-70.03332538029149
88016132,"URATACA 1-F, SANTA CRUZ ARUBA","URATACA 1-F, SANTA CRUZ",Aruba,ABW,Paradise Papers - Aruba corporate registry,Aruba corporate registry data is current through 2016,NA,-69.96666669999999,12.5166667,establishment,approximate,"ceru urataca, santa cruz, aruba",12.5180156802915,12.5153177197085,-69.9653177197085,-69.9680156802915
88016197,"V/D VEEN ZEPPENFELDSTRAAT 34, SAN NICOLAS ZUID ARUBA","V/D VEEN ZEPPENFELDSTRAAT 34, SAN NICOLAS ZUID",Aruba,ABW,Paradise Papers - Aruba corporate registry,Aruba corporate registry data is current through 2016,NA,-69.90834079999999,12.4336349,street_address,rooftop,"bernard van de veen zeppenfeldstraat 34, san nicolas, aruba",12.4349532302915,12.4322552697085,-69.9070195197085,-69.9097174802915
88016244,"V/D VEEN ZEPPENFELDSTRAAT 68, SAN NICOLAS ZUID ARUBA","V/D VEEN ZEPPENFELDSTRAAT 68, SAN NICOLAS ZUID",Aruba,ABW,Paradise Papers - Aruba corporate registry,Aruba corporate registry data is current through 2016,NA,-69.9064568,12.4327189,street_address,range_interpolated,"bernard van de veen zeppenfeldstraat 68, san nicolas, aruba",12.4340678802915,12.4313699197085,-69.9051078197085,-69.90780578029151
88016250,"V/D VEEN ZEPPENFELDSTRAAT 72, SAN NICOLAS ZUID ARUBA","V/D VEEN ZEPPENFELDSTRAAT 72, SAN NICOLAS ZUID",Aruba,ABW,Paradise Papers - Aruba corporate registry,Aruba corporate registry data is current through 2016,NA,-69.9064568,12.4327189,street_address,range_interpolated,"bernard van de veen zeppenfeldstraat 72, san nicolas, aruba",12.4340678802915,12.4313699197085,-69.9051078197085,-69.90780578029151
88016270,"V/D VEEN ZEPPENFELDSTRAAT 89, SAN NICOLAS ZUID ARUBA","V/D VEEN ZEPPENFELDSTRAAT 89, SAN NICOLAS ZUID",Aruba,ABW,Paradise Papers - Aruba corporate registry,Aruba corporate registry data is current through 2016,NA,-69.90592459999999,12.4325511,street_address,range_interpolated,"bernard van de veen zeppenfeldstraat 89, san nicolas, aruba",12.4339000802915,12.4312021197085,-69.90457561970848,-69.9072735802915
88016298,"VAN LEEUWENHOEKSTRAAT 2-A, ORANJESTAD OOST ARUBA","VAN LEEUWENHOEKSTRAAT 2-A, ORANJESTAD OOST",Aruba,ABW,Paradise Papers - Aruba corporate registry,Aruba corporate registry data is current through 2016,NA,-70.0319279,12.5223147,subpremise,range_interpolated,"a, van leeuwenhoekstraat 2, oranjestad, aruba",12.5236636802915,12.5209657197085,-70.03057891970849,-70.03327688029151
88016304,"VAN LEEUWENHOEKSTRAAT 3-A, ORANJESTAD OOST ARUBA","VAN LEEUWENHOEKSTRAAT 3-A, ORANJESTAD OOST",Aruba,ABW,Paradise Papers - Aruba corporate registry,Aruba corporate registry data is current through 2016,NA,-70.0309846,12.5199863,subpremise,rooftop,"a, van leeuwenhoekstraat 3, oranjestad, aruba",12.5213713302915,12.5186733697085,-70.0296310197085,-70.03232898029151
88016428,"VONDELLAAN 4, ORANJESTAD OOST ARUBA","VONDELLAAN 4, ORANJESTAD OOST",Aruba,ABW,Paradise Papers - Aruba corporate registry,Aruba corporate registry data is current through 2016,NA,-70.02709999999999,12.5106672,premise,rooftop,"vondellaan 4, oranjestad, aruba",12.5120190802915,12.5093211197085,-70.0258505197085,-70.0285484802915
88016533,"WASHINGTON 44, NOORD ARUBA","WASHINGTON 44, NOORD",Aruba,ABW,Paradise Papers - Aruba corporate registry,Aruba corporate registry data is current through 2016,NA,-70.0364858,12.5559991,premise,rooftop,"washington 44, noord, aruba",12.5573230302915,12.5546250697085,-70.0350288697085,-70.0377268302915
88016590,"WATAPANASTRAAT 7, ORANJESTAD WEST ARUBA","WATAPANASTRAAT 7, ORANJESTAD WEST",Aruba,ABW,Paradise Papers - Aruba corporate registry,Aruba corporate registry data is current through 2016,NA,-70.0298008,12.5313988,route,geometric_center,"watapanastraat, oranjestad, aruba",12.5327821302915,12.5300841697085,-70.0284493197085,-70.0311472802915
88016679,"WAYACA 31-C, ORANJESTAD OOST ARUBA","WAYACA 31-C, ORANJESTAD OOST",Aruba,ABW,Paradise Papers - Aruba corporate registry,Aruba corporate registry data is current through 2016,NA,-70.0066301,12.5067051,premise,rooftop,"wayaca 31c, oranjestad, aruba",12.5080294802915,12.5053315197085,-70.0052333197085,-70.0079312802915
88016797,"WAYACA Z/N, ORANJESTAD OOST ARUBA","WAYACA Z/N, ORANJESTAD OOST",Aruba,ABW,Paradise Papers - Aruba corporate registry,Aruba corporate registry data is current through 2016,NA,-70.0058709,12.5067062,route,geometric_center,"wayaca, oranjestad, aruba",12.5090821,12.5045823,-70.0036528197085,-70.00635078029151
88016836,"WEG FONTEIN 95, SAN NICOLAS NOORD ARUBA","WEG FONTEIN 95, SAN NICOLAS NOORD",Aruba,ABW,Paradise Papers - Aruba corporate registry,Aruba corporate registry data is current through 2016,NA,-69.90098929999999,12.4443869,street_address,range_interpolated,"weg fontein 95, san nicolas, aruba",12.4457358802915,12.4430379197085,-69.89964031970848,-69.90233828029149
88016839,"WEG FONTEIN 98-C, SAN NICOLAS NOORD ARUBA","WEG FONTEIN 98-C, SAN NICOLAS NOORD",Aruba,ABW,Paradise Papers - Aruba corporate registry,Aruba corporate registry data is current through 2016,NA,-69.8997346,12.4454394,subpremise,rooftop,"c, weg fontein 98f, san nicolas, aruba",12.4467976802915,12.4440997197085,-69.89828896970849,-69.90098693029151
88016937,"WEG SEROE PRETO 14, SAN NICOLAS NOORD ARUBA","WEG SEROE PRETO 14, SAN NICOLAS NOORD",Aruba,ABW,Paradise Papers - Aruba corporate registry,Aruba corporate registry data is current through 2016,NA,-69.91028899999999,12.4385108,street_address,range_interpolated,"weg sero preto 14, san nicolas, aruba",12.4398597802915,12.4371618197085,-69.90894001970848,-69.91163798029149
88016976,"WESTPUNT 13, NOORD ARUBA","WESTPUNT 13, NOORD",Aruba,ABW,Paradise Papers - Aruba corporate registry,Aruba corporate registry data is current through 2016,NA,-70.0398934,12.5948946,neighborhood,approximate,"westpunt, noord, aruba",12.5999047,12.591193,-70.0344729,-70.0440215
88016978,"WESTPUNT 14, NOORD ARUBA","WESTPUNT 14, NOORD",Aruba,ABW,Paradise Papers - Aruba corporate registry,Aruba corporate registry data is current through 2016,NA,-70.0398934,12.5948946,neighborhood,approximate,"westpunt, noord, aruba",12.5999047,12.591193,-70.0344729,-70.0440215
88016996,"WESTPUNT Z/N, NOORD ARUBA","WESTPUNT Z/N, NOORD",Aruba,ABW,Paradise Papers - Aruba corporate registry,Aruba corporate registry data is current through 2016,NA,-70.0398934,12.5948946,neighborhood,approximate,"westpunt, noord, aruba",12.5999047,12.591193,-70.0344729,-70.0440215
88017129,"WILHELMINASTRAAT 102, LOK. #2, ORANJESTAD OOST ARUBA","WILHELMINASTRAAT 102, LOK. #2, ORANJESTAD OOST",Aruba,ABW,Paradise Papers - Aruba corporate registry,Aruba corporate registry data is current through 2016,NA,-70.0313911,12.5337333,route,geometric_center,"caya ernesto petronia, oranjestad, aruba",12.546411,12.5220689,-70.02947259999999,-70.0354274
88017132,"WILHELMINASTRAAT 102, LOKAAL 2, ORANJESTAD OOST ARUBA","WILHELMINASTRAAT 102, LOKAAL 2, ORANJESTAD OOST",Aruba,ABW,Paradise Papers - Aruba corporate registry,Aruba corporate registry data is current through 2016,NA,-70.0313911,12.5337333,route,geometric_center,"caya ernesto petronia, oranjestad, aruba",12.546411,12.5220689,-70.02947259999999,-70.0354274
