"node_id_start","node_id_end","rel_type","link","status","start_date","end_date","sourceID","origin_match"
12147136,10014569,"officer_of","shareholder of",NA,"08-MAY-2007",NA,"Panama Papers","1_node_start"
12004949,10014851,"officer_of","shareholder of",NA,"02-DEC-2014",NA,"Panama Papers","1_node_start"
13006014,10014851,"officer_of","beneficiary of",NA,NA,NA,"Panama Papers","1_node_start"
12176072,10015042,"officer_of","shareholder of",NA,"02-MAY-2012",NA,"Panama Papers","1_node_start"
12221629,10015504,"officer_of","shareholder of",NA,"02-MAR-2009",NA,"Panama Papers","1_node_start"
12193061,10015543,"officer_of","shareholder of",NA,"22-JUN-2011",NA,"Panama Papers","1_node_start"
12011816,10015971,"officer_of","shareholder of",NA,"28-MAY-2010","13-JUN-2014","Panama Papers","1_node_start"
12006946,10015971,"officer_of","shareholder of",NA,"13-JUN-2014",NA,"Panama Papers","1_node_start"
12194335,10016062,"officer_of","shareholder of",NA,"23-JUN-2011",NA,"Panama Papers","1_node_start"
12222476,10016133,"officer_of","shareholder of",NA,"12-FEB-2014",NA,"Panama Papers","1_node_start"
12155742,10016199,"officer_of","shareholder of",NA,"28-FEB-2013",NA,"Panama Papers","1_node_start"
12050419,10016288,"officer_of","shareholder of",NA,"14-DEC-2009",NA,"Panama Papers","1_node_start"
12049327,10016288,"officer_of","shareholder of",NA,"14-DEC-2009",NA,"Panama Papers","1_node_start"
12050424,10016288,"officer_of","shareholder of",NA,"14-DEC-2009",NA,"Panama Papers","1_node_start"
12170433,10016740,"officer_of","shareholder of",NA,"17-DEC-2009",NA,"Panama Papers","1_node_start"
12132997,10016814,"officer_of","shareholder of",NA,"12-MAR-2015",NA,"Panama Papers","1_node_start"
13006080,10016814,"officer_of","beneficiary of",NA,NA,NA,"Panama Papers","1_node_start"
12142723,10017067,"officer_of","shareholder of",NA,"04-FEB-2015","17-APR-2015","Panama Papers","1_node_start"
13000458,10017067,"officer_of","beneficiary of",NA,NA,NA,"Panama Papers","1_node_start"
12222476,10017597,"officer_of","shareholder of",NA,"12-FEB-2014",NA,"Panama Papers","1_node_start"
12151240,10017861,"officer_of","shareholder of",NA,"10-MAR-2007",NA,"Panama Papers","1_node_start"
12139841,10018100,"officer_of","shareholder of",NA,"16-JUL-2014",NA,"Panama Papers","1_node_start"
13011623,10018100,"officer_of","beneficiary of",NA,NA,NA,"Panama Papers","1_node_start"
12149910,10019352,"officer_of","shareholder of",NA,"06-JUL-2005",NA,"Panama Papers","1_node_start"
12133611,10019583,"officer_of","shareholder of",NA,"29-JUL-2015",NA,"Panama Papers","1_node_start"
12133610,10019583,"officer_of","shareholder of",NA,"29-JUL-2015",NA,"Panama Papers","1_node_start"
12223928,10020235,"officer_of","shareholder of",NA,"13-JUN-2014",NA,"Panama Papers","1_node_start"
12151312,10020490,"officer_of","shareholder of",NA,"25-NOV-2013",NA,"Panama Papers","1_node_start"
12149456,10020490,"officer_of","shareholder of",NA,"25-NOV-2013",NA,"Panama Papers","1_node_start"
12129783,10021109,"officer_of","shareholder of",NA,"06-OCT-2010",NA,"Panama Papers","1_node_start"
12006946,10021282,"officer_of","shareholder of",NA,"13-JUN-2014",NA,"Panama Papers","1_node_start"
12216527,10021303,"officer_of","shareholder of",NA,"14-NOV-2008",NA,"Panama Papers","1_node_start"
12153430,10021578,"officer_of","shareholder of",NA,"09-JUN-2014",NA,"Panama Papers","1_node_start"
12153368,10021594,"officer_of","shareholder of",NA,"18-JUN-2014",NA,"Panama Papers","1_node_start"
12052759,10021996,"officer_of","shareholder of",NA,"16-JUL-2011",NA,"Panama Papers","1_node_start"
12022657,10023265,"officer_of","shareholder of",NA,"14-SEP-2001",NA,"Panama Papers","1_node_start"
12022658,10023265,"officer_of","shareholder of",NA,"14-SEP-2001",NA,"Panama Papers","1_node_start"
12050257,10023391,"officer_of","shareholder of",NA,"24-AUG-2001","04-DEC-2014","Panama Papers","1_node_start"
12050255,10023391,"officer_of","shareholder of",NA,"24-AUG-2001","04-DEC-2014","Panama Papers","1_node_start"
12050944,10023394,"officer_of","shareholder of",NA,"17-APR-2002","03-FEB-2003","Panama Papers","1_node_start"
12148263,10023964,"officer_of","shareholder of",NA,"12-JUN-2014",NA,"Panama Papers","1_node_start"
12175538,10024207,"officer_of","shareholder of",NA,"28-APR-2009",NA,"Panama Papers","1_node_start"
12155476,10024255,"officer_of","shareholder of",NA,"13-MAR-2014",NA,"Panama Papers","1_node_start"
12200558,10024736,"officer_of","shareholder of",NA,"13-APR-2010",NA,"Panama Papers","1_node_start"
12051981,10024832,"officer_of","shareholder of",NA,"14-APR-2009","03-AUG-2009","Panama Papers","1_node_start"
12030868,10025304,"officer_of","shareholder of",NA,"05-MAR-2010",NA,"Panama Papers","1_node_start"
12170759,10025509,"officer_of","shareholder of",NA,"15-JUN-2009",NA,"Panama Papers","1_node_start"
12050203,10025854,"officer_of","shareholder of",NA,"14-SEP-2001",NA,"Panama Papers","1_node_start"
12050185,10025854,"officer_of","shareholder of",NA,"14-SEP-2001",NA,"Panama Papers","1_node_start"
12120444,10025925,"officer_of","shareholder of",NA,"24-FEB-2010",NA,"Panama Papers","1_node_start"
12133612,10026138,"officer_of","shareholder of",NA,"21-MAY-2014",NA,"Panama Papers","1_node_start"
12050203,10026218,"officer_of","shareholder of",NA,"27-SEP-2001",NA,"Panama Papers","1_node_start"
12050227,10026218,"officer_of","shareholder of",NA,"27-SEP-2001",NA,"Panama Papers","1_node_start"
12151355,10027011,"officer_of","shareholder of",NA,"17-JUN-2014",NA,"Panama Papers","1_node_start"
12030612,10027552,"officer_of","shareholder of",NA,"09-OCT-2014",NA,"Panama Papers","1_node_start"
12031145,10027552,"officer_of","shareholder of",NA,"09-OCT-2014",NA,"Panama Papers","1_node_start"
12031984,10027552,"officer_of","shareholder of",NA,"09-OCT-2014",NA,"Panama Papers","1_node_start"
12031985,10027552,"officer_of","shareholder of",NA,"09-OCT-2014",NA,"Panama Papers","1_node_start"
12057338,10027695,"officer_of","shareholder of",NA,"30-JUN-2011",NA,"Panama Papers","1_node_start"
12057339,10027695,"officer_of","shareholder of",NA,"30-JUN-2011",NA,"Panama Papers","1_node_start"
12057337,10027695,"officer_of","shareholder of",NA,"30-JUN-2011",NA,"Panama Papers","1_node_start"
12151425,10028142,"officer_of","shareholder of",NA,"15-JUL-2010",NA,"Panama Papers","1_node_start"
12093553,10028355,"officer_of","shareholder of",NA,"14-MAY-2003",NA,"Panama Papers","1_node_start"
12080992,10028736,"officer_of","shareholder of",NA,NA,NA,"Panama Papers","1_node_start"
12080991,10028736,"officer_of","shareholder of",NA,NA,NA,"Panama Papers","1_node_start"
12099874,10028755,"officer_of","shareholder of",NA,"04-FEB-2015",NA,"Panama Papers","1_node_start"
13003566,10028755,"officer_of","beneficiary of",NA,NA,NA,"Panama Papers","1_node_start"
12126882,10029042,"officer_of","shareholder of",NA,"13-JUN-2014",NA,"Panama Papers","1_node_start"
12205797,10029077,"officer_of","shareholder of",NA,"13-JUN-2013",NA,"Panama Papers","1_node_start"
12081193,10029120,"officer_of","shareholder of",NA,"01-SEP-2005",NA,"Panama Papers","1_node_start"
12024343,10029468,"officer_of","shareholder of",NA,"30-JUN-2010",NA,"Panama Papers","1_node_start"
12127185,10029969,"officer_of","shareholder of",NA,"13-JUN-2014",NA,"Panama Papers","1_node_start"
