Company;Country;Doc id;Cartel;a.k.a;Impact Report Page
Prospectiva E.U.;;21;Cali Cartel;;138
Media Marketing E.U.;;21;Cali Cartel;;138
Consultor a Santafe E.U.;;21;Cali Cartel;;138
2000 Dose E.U.;;21;Cali Cartel;;138
Asems E.U.;;21;Cali Cartel;;138
Internacional de Divisas S.A.;;21;Cali Cartel;;138
Drocard S.A.;Colombia ;21;Cali Cartel;;138
Americana de Cosmet cos S.A.;Colombia ;21;Cali Cartel;;138
Latina de Cosmet cos S.A.;Colombia ;21;Cali Cartel;;138
Productos Ga o y C a. Ltda.;Colombia ;21;Cali Cartel;;138
Matsum S.A.;Colombia ;21;Cali Cartel;;138
Sharvet S.A.;Colombia ;21;Cali Cartel;;138
Tervet S.A.;Colombia ;21;Cali Cartel;;138
Genes S.A.;Colombia ;21;Cali Cartel;;138
Fogensa S.A.;Colombia ;21;Cali Cartel;;138
Telefarma;Colombia ;21;Cali Cartel;;138
Farma 3.000 Ltda.;Colombia ;21;Cali Cartel;;138
Farma XXI Ltda;Colombia ;21;Cali Cartel;;138
Supergen Ltda;Colombia ;21;Cali Cartel;;138
Distriexport C.I. S.A.;Colombia ;21;Cali Cartel;;138
Serv futura Ltda.;Colombia ;21;Cali Cartel;;138
Codisa;;21;Cali Cartel;;138
Fomentamos;;21;Cali Cartel;;138
Caja Solidaria;;21;Cali Cartel;;138
Credisol;;21;Cali Cartel;;138
Coomercol;;21;Cali Cartel;;138
Colimex Ltda.;Colombia ;21;Cali Cartel;;138
Distr buidora Sanar de Colombia S.A;Colombia ;21;Cali Cartel;;138
Prosalud y B enestar S.A.;Colombia ;21;Cali Cartel;;138
Comerc zadora D glo Ltda.;Colombia ;21;Cali Cartel;;138
Distribuc ones G omil Ltda.;Colombia ;21;Cali Cartel;;138
Contactel Comun caciones S.A.;Colombia ;21;Cali Cartel;;138
Comercializadora Intertel S.A.;Colombia ;21;Cali Cartel;;138
Inversiones Kanton Ltda.;;21;Cali Cartel;;138
Inversiones Sampla E.U.;;21;Cali Cartel;;138
Inversiones Doble Cero E.U.;;21;Cali Cartel;;138
Inmobiliaria Imtasa Ltda;;21;Cali Cartel;;138
Inversiones y D stribuc ones A M M Ltda.;;21;Cali Cartel;;138
Inversiete S.A.;;21;Cali Cartel;;138
Inversiones Nuevo Dia E.U.;;21;Cali Cartel;;138
Rentar Inmob liaria S.A.;;21;Cali Cartel;;138
Zaratan Corporation;British Virgin Islands;21;Cali Cartel;;144
Kesman Overseas;British Virgin Islands;21;Cali Cartel;;144
Ash Trading, Inc.;USA;21;Cali Cartel;;144
Fundacion Vivir Mejor;;21;Cali Cartel;;144
Fundaser;;21;Cali Cartel;;144
Mapri de Colombia Ltda;;21;Cali Cartel;;144
G M C Grupo Maquilacion Colombiano;;21;Cali Cartel;;144
Sisva Ltda.;;21;Cali Cartel;;144
Chamartin S.A.;;21;Cali Cartel;;144
Colphar S.A.;;21;Cali Cartel;;144
VOL Pharmacya Ltda.;;21;Cali Cartel;;144
Laboratorios Profarma Ltda.;;21;Cali Cartel;;144
